Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2005,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,19766,0,0,0
2005,127060,University of Denver,00137100,1,University Park Campus,10374,0,0,0
2005,127741,University of Northern Colorado,00134900,1,Main Campus,13622,0,0,9
2005,128391,Western Colorado University,00137200,1,Main Campus,2253,0,0,0
2006,126678,Colorado College,00134700,1,Colorado College,1998,0,0,0
2006,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6211,0,0,0
2006,127556,Colorado Mesa University,00135800,3,Colorado Mesa University - WCCC Campus,6211,0,0,0
2006,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5508,0,0,0
2006,126775,Colorado School of Mines,00134800,1,Main Campus,4357,0,0,1
2006,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,27636,0,0,0
2006,127185,Fort Lewis College,00135300,1,Main Campus,3905,0,0,0
2006,127200,Front Range Community College,00793300,2,Larimer Campus,14749,0,0,0
2006,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),21154,1,0,0
2006,127617,Morgan Community College,00998100,1,MORGAN COMMUNITY COLLEGE,1736,0,0,0
2006,127653,Naropa University,02117500,1,Arapahoe Campus,1107,0,0,0
2006,128151,Pickens Technical College,01287500,1,Pickens Technical College,672,0,0,0
2006,127884,Pueblo Community College,02116300,1,Main Campus,5056,0,0,0
2006,127918,Regis University,00136300,1,Northwest Denver Campus,11388,0,0,0
2006,128258,Trinidad State College,00136800,1,Trinidad Campus,1732,0,0,0
2006,128258,Trinidad State College,00136800,2,Valley Campus,1732,0,0,0
2006,126614,University of Colorado Boulder,00137000,1,Main Campus,31665,0,0,6
2006,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,20162,0,0,0
2006,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,3,CU Denver - Anschutz Medical Campus,20162,0,0,0
2006,127060,University of Denver,00137100,1,University Park Campus,10791,0,0,0
2006,127741,University of Northern Colorado,00134900,1,Main Campus,13363,0,3,5
2006,128391,Western Colorado University,00137200,1,Main Campus,2198,0,0,0
2007,126289,Arapahoe Community College,00134600,1,Arapahoe Community College,6538,0,0,0
2007,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2151,0,0,0
2007,126678,Colorado College,00134700,1,Colorado College,2075,0,0,0
2007,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6199,0,2,0
2007,127556,Colorado Mesa University,00135800,3,Colorado Mesa University - WCCC Campus,6199,0,0,0
2007,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5206,0,0,0
2007,126775,Colorado School of Mines,00134800,1,Main Campus,4560,0,0,0
2007,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,27569,0,0,0
2007,127185,Fort Lewis College,00135300,1,Main Campus,3928,0,3,0
2007,127200,Front Range Community College,00793300,2,Larimer Campus,15270,0,0,0
2007,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),21425,0,3,0
2007,127617,Morgan Community College,00998100,1,MORGAN COMMUNITY COLLEGE,1748,0,0,0
2007,127653,Naropa University,02117500,1,Arapahoe Campus,1104,0,0,0
2007,127884,Pueblo Community College,02116300,1,Main Campus,5063,0,0,0
2007,127918,Regis University,00136300,1,Northwest Denver Campus,11238,0,0,0
2007,128258,Trinidad State College,00136800,1,Trinidad Campus,1760,0,0,0
2007,126614,University of Colorado Boulder,00137000,1,Main Campus,31796,0,0,0
2007,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,21658,0,2,1
2007,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,3,CU Denver - Anschutz Medical Campus,21658,0,0,0
2007,127060,University of Denver,00137100,1,University Park Campus,11053,0,0,0
2007,127741,University of Northern Colorado,00134900,1,Main Campus,12702,1,2,13
2007,128391,Western Colorado University,00137200,1,Main Campus,2146,0,0,0
2008,126182,Adams State University,00134500,1,Adams State University,2920,0,0,1
2008,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2599,0,0,0
2008,126678,Colorado College,00134700,1,Colorado College,2026,0,0,0
2008,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6262,0,0,0
2008,127556,Colorado Mesa University,00135800,3,Colorado Mesa University - WCCC Campus,6262,0,0,0
2008,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,5092,0,0,0
2008,126775,Colorado School of Mines,00134800,1,Main Campus,4704,0,0,0
2008,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6759,0,0,4
2008,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,28882,0,0,0
2008,127158,Emily Griffith Technical College,00559600,1,Main Campus,2564,0,0,0
2008,127185,Fort Lewis College,00135300,1,Main Campus,3740,0,0,0
2008,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),21729,0,0,0
