Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2001,436261,Southwest Acupuncture College-Boulder,02622002,1,Boulder Campus,126,0,0,0
2001,126605,Spartan College of Aeronautics and Technology,00729700,1,Main Campus,1301,0,0,0
2001,126915,Technical College of the Rockies,02156200,1,Main Campus,2042,0,0,0
2001,128258,Trinidad State College,00136800,1,Trinidad Campus,1979,0,1,5
2001,128258,Trinidad State College,00136800,2,Valley Campus,1979,0,0,0
2001,126614,University of Colorado Boulder,00137000,1,Main Campus,30063,0,31,183
2001,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,7980,1,21,37
2001,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,15004,1,21,1
2001,127060,University of Denver,00137100,1,University Park Campus,9385,2,10,6
2001,127060,University of Denver,00137100,2,Four Corners Campus,9385,0,3,0
2001,127741,University of Northern Colorado,00134900,1,Main Campus,12301,3,22,51
2001,179894,Webster University,00252100,10,Colorado Springs Metropolitan Campus,15402,0,0,0
2001,128391,Western Colorado University,00137200,1,Main Campus,2308,2,16,13
2002,126182,Adams State University,00134500,1,Adams State University,7708,0,19,76
2002,126207,Aims Community College,00758200,1,Greeley Campus,7081,0,0,0
2002,126207,Aims Community College,00758200,2,Aims Community College - Loveland Campus,7081,0,0,0
2002,126207,Aims Community College,00758200,3,Aims Community College - Fort Lupton Campus,7081,0,0,0
2002,126289,Arapahoe Community College,00134600,1,Arapahoe Community College,7848,1,0,1
2002,372356,Avalon Institute-Aurora,03027400,1,Avalon institute-Aurora,89,0,0,0
2002,126359,Bel-Rea Institute of Animal Technology,01267000,1,Main Campus,690,0,0,0
2002,381699,Cheeks Beauty Academy,02211901,1,BRANCH CAMPUS,28,0,0,0
2002,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,1801,0,0,0
2002,126678,Colorado College,00134700,1,Colorado College,1930,0,1,3
2002,443632,Colorado Media School,03068201,1,Colorado Media School,,0,0,0
2002,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,5572,0,7,13
2002,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,6817,0,5,6
2002,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,2052,0,2,2
2002,381732,Colorado School of Healing Arts,03584400,1,Colorado School of Healing Arts,267,0,0,0
2002,126775,Colorado School of Mines,00134800,1,Main Campus,3787,0,4,11
2002,126784,Colorado School of Trades,01157200,1,Main Campus,84,0,0,0
2002,381352,Colorado School of Traditional Chinese Medicine,03686300,1,Main Campus,,0,0,0
2002,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6167,0,0,6
2002,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,29255,0,90,455
2002,126827,Colorado Technical University-Colorado Springs,01014800,1,Main Campus,1770,0,0,0
2002,177065,Columbia College,00245600,6,Columbia College @ Denver,8958,0,0,0
2002,126863,Community College of Aurora,02276900,1,CentreTech Campus,5097,0,0,0
2002,126942,Community College of Denver,00954200,1,Community College of Denver,7924,2,13,0
2002,126687,Concorde Career College-Aurora,00887100,1,Concorde Career College,616,0,0,0
2002,126979,Denver Seminary,00135200,1,Main Campus,808,0,0,0
2002,127158,Emily Griffith Technical College,00559600,1,Main Campus,13127,0,0,0
2002,128337,Empire Beauty School-Thornton,00757306,1,Empire Beauty School - Thornton- CO,107,0,0,0
2002,127185,Fort Lewis College,00135300,1,Main Campus,4349,0,22,69
2002,127200,Front Range Community College,00793300,1,Westminster Campus,14599,0,0,0
2002,127200,Front Range Community College,00793300,2,Larimer Campus,14599,0,0,0
2002,127200,Front Range Community College,00793300,3,Boulder County Campus,14599,0,0,0
2002,372329,IBMC College,03006300,1,Main Campus,310,0,0,0
2002,127273,Iliff School of Theology,00135400,1,Main Campus,333,0,0,0
2002,128179,Intellitec College-Colorado Springs,02253700,1,IntelliTec College - Colorado Springs,477,0,0,0
2002,128188,Intellitec College-Grand Junction,03066900,1,INTELLITEC COLLEGE-GRAND JUNCTION,160,0,0,0
2002,127316,International Salon and Spa Academy,01285000,1,International Salon and Spa Academy,99,0,0,0
2002,127389,Lamar Community College,00135500,1,Lamar Community College,1171,0,0,7
2002,126951,Lincoln College of Technology-Denver,00793806,1,Lincoln College of Technology,751,0,1,0
2002,127565,Metropolitan State University of Denver,00136000,1,Auraria Campus (Main Campus),19413,2,13,0
2002,127954,Montessori Education Center of the Rockies,03306300,1,Main Campus,100,0,0,0
2002,127617,Morgan Community College,00998100,1,MORGAN COMMUNITY COLLEGE,1627,0,0,0
2002,127653,Naropa University,02117500,1,Arapahoe Campus,1120,0,0,0
2002,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),3628,0,1,1
2002,127778,Otero Junior College,00136200,1,Main Campus,1547,0,1,9
2002,128151,Pickens Technical College,01287500,1,Pickens Technical College,788,0,0,0
2002,127820,Pikes Peak Community College,00889600,1,Centennial Campus,10444,1,4,2
2002,127820,Pikes Peak Community College,00889600,2,Rampart Range Campus,10444,0,0,0
2002,127820,Pikes Peak Community College,00889600,3,Downtown Studio Campus,10444,0,0,0
2002,442134,Pima Medical Institute-Colorado Springs,02217108,1,Colorado Springs,,0,0,0
2002,404912,Pima Medical Institute-Denver,02217104,1,Denver Campus,445,0,0,0
2002,260813,Platt College-Aurora,03014900,1,Main Campus,127,0,0,0
2002,127884,Pueblo Community College,02116300,1,Main Campus,5130,0,0,0
2002,127884,Pueblo Community College,02116300,2,Pueblo Community College at Fremont,5130,0,0,0
2002,127884,Pueblo Community College,02116300,3,SCCC Campus-West,5130,0,0,0
2002,127884,Pueblo Community College,02116300,4,SCCC Campus- East,5130,0,0,0
2002,127909,Red Rocks Community College,00954300,1,Red Rocks Community College,7389,0,5,1
2002,127918,Regis University,00136300,1,Northwest Denver Campus,11447,0,0,0
2002,127945,Rocky Mountain College of Art and Design,00764900,1,Rocky Mountain College of Art + Design,441,0,0,0
2002,436261,Southwest Acupuncture College-Boulder,02622002,1,Boulder Campus,134,0,0,0
2002,126605,Spartan College of Aeronautics and Technology,00729700,1,Main Campus,1052,0,0,0
2002,126915,Technical College of the Rockies,02156200,1,Main Campus,1251,0,1,0
2002,443289,Tigi Hairdressing Academy-Colorado Springs,03670300,1,Main Campus Colorado Springs,,0,0,0
2002,128258,Trinidad State College,00136800,1,Trinidad Campus,2196,0,0,8
2002,128258,Trinidad State College,00136800,2,Valley Campus,2196,0,0,0
2002,126614,University of Colorado Boulder,00137000,1,Main Campus,31415,2,75,259
2002,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,8340,0,27,66
2002,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,15596,2,13,0
2002,127060,University of Denver,00137100,1,University Park Campus,9229,2,6,6
2002,127741,University of Northern Colorado,00134900,1,Main Campus,12434,0,17,148
2002,179894,Webster University,00252100,10,Colorado Springs Metropolitan Campus,17249,0,0,0
2002,128391,Western Colorado University,00137200,1,Main Campus,2330,1,24,11
2003,126182,Adams State University,00134500,1,Adams State University,8472,0,11,29
2003,126207,Aims Community College,00758200,1,Greeley Campus,5168,0,0,0
2003,126207,Aims Community College,00758200,2,Aims Community College - Loveland Campus,5168,0,0,0
2003,126207,Aims Community College,00758200,3,Aims Community College - Fort Lupton Campus,5168,0,0,0
2003,126289,Arapahoe Community College,00134600,1,Arapahoe Community College,7744,0,0,0
2003,372356,Avalon Institute-Aurora,03027400,1,Avalon institute-Aurora,79,0,0,0
2003,126359,Bel-Rea Institute of Animal Technology,01267000,1,Main Campus,737,0,0,0
2003,381699,Cheeks Beauty Academy,02211901,1,BRANCH CAMPUS,35,0,0,0
