Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Murder/Non-negligent manslaughter,Negligent manslaughter,Sex offenses - Forcible,Rape,Fondling,Sex offenses - Non-forcible,Incest,Statutory rape,Robbery,Aggravated assault,Burglary,Motor vehicle theft,Arson
2004,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,1680,0,0,0,,,0,,,0,0,2,0,0
2004,126678,Colorado College,00134700,1,Colorado College,2044,0,0,5,,,0,,,0,1,5,0,0
2004,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,6235,0,0,0,,,0,,,1,0,2,1,0
2004,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,6361,0,0,1,,,0,,,0,1,1,0,0
2004,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,2201,0,0,0,,,0,,,0,0,0,0,0
2004,126775,Colorado School of Mines,00134800,1,Main Campus,4101,0,0,2,,,0,,,0,2,5,1,0
2004,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,5741,0,0,2,,,0,,,0,0,4,0,0
2004,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,27973,0,0,2,,,0,,,0,1,11,0,1
2004,126979,Denver Seminary,00135200,1,Main Campus,831,0,0,0,,,0,,,0,0,0,0,0
2004,127185,Fort Lewis College,00135300,1,Main Campus,4194,0,0,2,,,0,,,0,0,20,0,0
2004,127273,Iliff School of Theology,00135400,1,Main Campus,333,0,0,0,,,0,,,0,0,1,0,0
2004,127389,Lamar Community College,00135500,1,Lamar Community College,1061,0,0,0,,,0,,,0,0,0,0,0
2004,127653,Naropa University,02117500,1,Arapahoe Campus,1232,0,0,0,,,0,,,0,0,0,0,0
2004,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2912,0,0,0,,,0,,,0,0,10,0,0
2004,127778,Otero Junior College,00136200,1,Main Campus,1676,0,0,0,,,0,,,0,1,0,1,0
2004,127918,Regis University,00136300,1,Northwest Denver Campus,11801,0,0,3,,,0,,,0,0,2,0,0
2004,128258,Trinidad State College,00136800,1,Trinidad Campus,2106,0,0,0,,,0,,,0,0,2,0,0
2004,126614,University of Colorado Boulder,00137000,1,Main Campus,32362,0,0,8,,,0,,,1,2,52,1,5
2004,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,9039,0,0,1,,,0,,,0,2,2,0,1
