Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations
2009,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1375,0,0,1
2009,126775,Colorado School of Mines,00134800,1,Main Campus,5124,1,4,16
2009,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,6443,0,0,11
2009,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,28902,1,27,39
2009,126979,Denver Seminary,00135200,1,Main Campus,925,0,0,0
2009,127185,Fort Lewis College,00135300,1,Main Campus,3770,0,65,83
2009,127273,Iliff School of Theology,00135400,1,Main Campus,303,0,0,0
2009,127389,Lamar Community College,00135500,1,Lamar Community College,1080,0,1,1
2009,127653,Naropa University,02117500,1,Arapahoe Campus,1073,0,0,0
2009,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2497,0,3,19
2009,127778,Otero Junior College,00136200,1,Main Campus,1660,0,3,21
2009,127918,Regis University,00136300,1,Northwest Denver Campus,10874,0,1,0
2009,128258,Trinidad State College,00136800,1,Trinidad Campus,1812,1,1,5
2009,126614,University of Colorado Boulder,00137000,1,Main Campus,33010,1,89,206
2009,126580,University of Colorado Colorado Springs,00450900,1,University of Colorado Colorado Springs,9733,0,35,27
2009,126562,University of Colorado Denver/Anschutz Medical Campus,00450800,1,University of Colorado Denver - Downtown,23715,0,1,0
2009,127060,University of Denver,00137100,1,University Park Campus,11644,0,2,0
2009,127741,University of Northern Colorado,00134900,1,Main Campus,12711,0,76,108
2009,128391,Western Colorado University,00137200,1,Main Campus,2237,0,32,1
2010,126182,Adams State University,00134500,1,Adams State University,3237,0,15,25
2010,126669,Colorado Christian University,00940100,1,Lakewood Main Campus,2733,0,0,0
2010,126678,Colorado College,00134700,1,Colorado College,2091,0,0,0
2010,127556,Colorado Mesa University,00135800,1,Colorado Mesa University - Main Campus,8130,1,23,18
2010,126711,Colorado Mountain College,00450600,1,Colorado Mountain College,6088,0,25,0
2010,126748,Colorado Northwestern Community College,00135900,1,Colorado Northwestern Community College,1450,0,2,5
2010,126775,Colorado School of Mines,00134800,1,Main Campus,5287,0,1,6
2010,128106,Colorado State University Pueblo,00136500,1,Colorado State University Pueblo,7379,0,21,27
2010,126818,Colorado State University-Fort Collins,00135000,1,Main Campus,30155,3,86,63
2010,126979,Denver Seminary,00135200,1,Main Campus,993,0,0,0
2010,127185,Fort Lewis College,00135300,1,Main Campus,3853,0,53,44
2010,127273,Iliff School of Theology,00135400,1,Main Campus,336,0,0,0
2010,127389,Lamar Community College,00135500,1,Lamar Community College,1051,0,0,0
2010,127653,Naropa University,02117500,1,Arapahoe Campus,1065,0,0,0
2010,127732,Northeastern Junior College,00136100,1,Main Campus (Sterling- CO),2214,0,6,28
2010,127778,Otero Junior College,00136200,1,Main Campus,1823,0,3,16
2010,127918,Regis University,00136300,1,Northwest Denver Campus,11069,0,4,14
2010,128258,Trinidad State College,00136800,1,Trinidad Campus,1916,0,4,14
